# weight[i] (1/Å)  momenta[i] (1/Å)  momenta[j] (1/Å)  v_0[i, j] (K•Å^3)  v_1[i, j] (K•Å^3)
2.94076955e-04  1.14585593e-04  7.52481603e+00  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  7.72626477e+00  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  7.93121659e+00  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  8.13964330e+00  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  8.35151126e+00  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  8.56678122e+00  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  8.78540811e+00  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  9.00734089e+00  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  9.23252241e+00  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  9.46088920e+00  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  9.69237133e+00  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  9.92689233e+00  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.01643690e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.04047112e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.06478220e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.08935974e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.11419262e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.13926901e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.16457635e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.19010136e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.21583001e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.24174756e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.26783853e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.29408674e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.32047525e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.34698643e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.37360196e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.40030281e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.42706927e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.45388099e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.48071695e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.50755554e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.53437453e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.56115112e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.58786196e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.61448320e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.64099049e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.66735903e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.69356362e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.71957868e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.74537827e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.77093621e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.79622603e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.82122107e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.84589452e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.87021947e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.89416895e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.91771600e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.94083371e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.96349527e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  1.98567405e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.00734362e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.02847785e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.04905094e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.06903746e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.08841245e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.10715145e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.12523057e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.14262653e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.15931673e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.17527930e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.19049315e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.20493801e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.21859453e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.23144425e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.24346973e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.25465452e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.26498325e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.27444167e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.28301664e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.29069623e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.29746969e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.30332753e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.30826150e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.31226465e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.31533134e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.31745729e+01  0.00000000e+00  0.00000000e+00
2.94076955e-04  1.14585593e-04  2.31863996e+01  0.00000000e+00  0.00000000e+00
6.84819973e-04  6.03861430e-04  1.14585593e-04  -1.75023407e+03  -2.34272697e-07
6.84819973e-04  6.03861430e-04  6.03861430e-04  -1.75023373e+03  -4.52260892e-07
6.84819973e-04  6.03861430e-04  1.48458275e-03  -1.75023194e+03  -1.59289365e-06
6.84819973e-04  6.03861430e-04  2.75776215e-03  -1.75022668e+03  -4.94239405e-06
6.84819973e-04  6.03861430e-04  4.42460496e-03  -1.75021504e+03  -1.23665435e-05
6.84819973e-04  6.03861430e-04  6.48666370e-03  -1.75019317e+03  -2.63193232e-05
6.84819973e-04  6.03861430e-04  8.94585399e-03  -1.75015629e+03  -4.98542784e-05
6.84819973e-04  6.03861430e-04  1.18044591e-02  -1.75009869e+03  -8.66386450e-05
6.84819973e-04  6.03861430e-04  1.50651330e-02  -1.75001369e+03  -1.40970295e-04
6.84819973e-04  6.03861430e-04  1.87309030e-02  -1.74989366e+03  -2.17797572e-04
6.84819973e-04  6.03861430e-04  2.28051730e-02  -1.74972999e+03  -3.22742082e-04
6.84819973e-04  6.03861430e-04  2.72917266e-02  -1.74951313e+03  -4.62124555e-04
6.84819973e-04  6.03861430e-04  3.21947309e-02  -1.74923252e+03  -6.42993849e-04
6.84819973e-04  6.03861430e-04  3.75187407e-02  -1.74887664e+03  -8.73159235e-04
6.84819973e-04  6.03861430e-04  4.32687024e-02  -1.74843299e+03  -1.16122608e-03
6.84819973e-04  6.03861430e-04  4.94499593e-02  -1.74788804e+03  -1.51663506e-03
6.84819973e-04  6.03861430e-04  5.60682559e-02  -1.74722719e+03  -1.94970509e-03
6.84819973e-04  6.03861430e-04  6.31297443e-02  -1.74643477e+03  -2.47168005e-03
6.84819973e-04  6.03861430e-04  7.06409889e-02  -1.74549395e+03  -3.09477965e-03
6.84819973e-04  6.03861430e-04  7.86089734e-02  -1.74438682e+03  -3.83225441e-03
6.84819973e-04  6.03861430e-04  8.70411066e-02  -1.74309429e+03  -4.69844520e-03
6.84819973e-04  6.03861430e-04  9.59452294e-02  -1.74159622e+03  -5.70884734e-03
6.84819973e-04  6.03861430e-04  1.05329622e-01  -1.73987133e+03  -6.88017969e-03
6.84819973e-04  6.03861430e-04  1.15203012e-01  -1.73789722e+03  -8.23045888e-03
6.84819973e-04  6.03861430e-04  1.25574579e-01  -1.73565029e+03  -9.77907898e-03
6.84819973e-04  6.03861430e-04  1.36453969e-01  -1.73310575e+03  -1.15468969e-02
6.84819973e-04  6.03861430e-04  1.47851295e-01  -1.73023761e+03  -1.35563239e-02
6.84819973e-04  6.03861430e-04  1.59777152e-01  -1.72701877e+03  -1.58314234e-02
6.84819973e-04  6.03861430e-04  1.72242622e-01  -1.72342098e+03  -1.83980154e-02
6.84819973e-04  6.03861430e-04  1.85259287e-01  -1.71941486e+03  -2.12837885e-02
6.84819973e-04  6.03861430e-04  1.98839235e-01  -1.71496984e+03  -2.45184186e-02
6.84819973e-04  6.03861430e-04  2.12995070e-01  -1.71005426e+03  -2.81336961e-02
6.84819973e-04  6.03861430e-04  2.27739927e-01  -1.70463543e+03  -3.21636611e-02
6.84819973e-04  6.03861430e-04  2.43087477e-01  -1.69867964e+03  -3.66447473e-02
6.84819973e-04  6.03861430e-04  2.59051937e-01  -1.69215216e+03  -4.16159354e-02
6.84819973e-04  6.03861430e-04  2.75648087e-01  -1.68501735e+03  -4.71189150e-02
6.84819973e-04  6.03861430e-04  2.92891275e-01  -1.67723878e+03  -5.31982578e-02
6.84819973e-04  6.03861430e-04  3.10797432e-01  -1.66877920e+03  -5.99015999e-02
6.84819973e-04  6.03861430e-04  3.29383080e-01  -1.65960068e+03  -6.72798357e-02
6.84819973e-04  6.03861430e-04  3.48665347e-01  -1.64966477e+03  -7.53873216e-02
6.84819973e-04  6.03861430e-04  3.68661976e-01  -1.63893254e+03  -8.42820913e-02
6.84819973e-04  6.03861430e-04  3.89391339e-01  -1.62736472e+03  -9.40260820e-02
6.84819973e-04  6.03861430e-04  4.10872446e-01  -1.61492189e+03  -1.04685370e-01
6.84819973e-04  6.03861430e-04  4.33124960e-01  -1.60156456e+03  -1.16330417e-01
6.84819973e-04  6.03861430e-04  4.56169207e-01  -1.58725339e+03  -1.29036324e-01
6.84819973e-04  6.03861430e-04  4.80026188e-01  -1.57194934e+03  -1.42883091e-01
6.84819973e-04  6.03861430e-04  5.04717593e-01  -1.55561384e+03  -1.57955879e-01
6.84819973e-04  6.03861430e-04  5.30265809e-01  -1.53820898e+03  -1.74345274e-01
6.84819973e-04  6.03861430e-04  5.56693934e-01  -1.51969770e+03  -1.92147533e-01
6.84819973e-04  6.03861430e-04  5.84025789e-01  -1.50004399e+03  -2.11464826e-01
6.84819973e-04  6.03861430e-04  6.12285928e-01  -1.47921304e+03  -2.32405431e-01
6.84819973e-04  6.03861430e-04  6.41499650e-01  -1.45717146e+03  -2.55083896e-01
6.84819973e-04  6.03861430e-04  6.71693009e-01  -1.43388740e+03  -2.79621112e-01
6.84819973e-04  6.03861430e-04  7.02892824e-01  -1.40933071e+03  -3.06144294e-01
6.84819973e-04  6.03861430e-04  7.35126690e-01  -1.38347309e+03  -3.34786801e-01
6.84819973e-04  6.03861430e-04  7.68422986e-01  -1.35628817e+03  -3.65687749e-01
6.84819973e-04  6.03861430e-04  8.02810888e-01  -1.32775156e+03  -3.98991338e-01
6.84819973e-04  6.03861430e-04  8.38320370e-01  -1.29784093e+03  -4.34845774e-01
6.84819973e-04  6.03861430e-04  8.74982219e-01  -1.26653599e+03  -4.73401665e-01
6.84819973e-04  6.03861430e-04  9.12828036e-01  -1.23381854e+03  -5.14809694e-01
6.84819973e-04  6.03861430e-04  9.51890247e-01  -1.19967239e+03  -5.59217344e-01
6.84819973e-04  6.03861430e-04  9.92202106e-01  -1.16408344e+03  -6.06764342e-01
6.84819973e-04  6.03861430e-04  1.03379770e+00  -1.12703965e+03  -6.57576462e-01
6.84819973e-04  6.03861430e-04  1.07671194e+00  -1.08853130e+03  -7.11757149e-01
6.84819973e-04  6.03861430e-04  1.12098059e+00  -1.04855123e+03  -7.69376347e-01
6.84819973e-04  6.03861430e-04  1.16664024e+00  -1.00709546e+03  -8.30455755e-01
6.84819973e-04  6.03861430e-04  1.21372832e+00  -9.64164203e+02  -8.94949558e-01
6.84819973e-04  6.03861430e-04  1.26228311e+00  -9.19763325e+02  -9.62719534e-01
6.84819973e-04  6.03861430e-04  1.31234368e+00  -8.73906678e+02  -1.03350331e+00
6.84819973e-04  6.03861430e-04  1.36394997e+00  -8.26619339e+02  -1.10687445e+00
6.84819973e-04  6.03861430e-04  1.41714270e+00  -7.77942146e+02  -1.18219327e+00
6.84819973e-04  6.03861430e-04  1.47196344e+00  -7.27937794e+02  -1.25854755e+00
6.84819973e-04  6.03861430e-04  1.52845450e+00  -6.76698783e+02  -1.33468333e+00
6.84819973e-04  6.03861430e-04  1.58665903e+00  -6.24357458e+02  -1.40892772e+00
6.84819973e-04  6.03861430e-04  1.64662091e+00  -5.71098198e+02  -1.47910851e+00
6.84819973e-04  6.03861430e-04  1.70838477e+00  -5.17171545e+02  -1.54247988e+00
6.84819973e-04  6.03861430e-04  1.77199600e+00  -4.62909554e+02  -1.59567037e+00
6.84819973e-04  6.03861430e-04  1.83750065e+00  -4.08740933e+02  -1.63467794e+00
6.84819973e-04  6.03861430e-04  1.90494548e+00  -3.55203480e+02  -1.65494792e+00
6.84819973e-04  6.03861430e-04  1.97437788e+00  -3.02950133e+02  -1.65158024e+00
6.84819973e-04  6.03861430e-04  2.04584586e+00  -2.52743581e+02  -1.61971842e+00
6.84819973e-04  6.03861430e-04  2.11939800e+00  -2.05433481e+02  -1.55516662e+00
6.84819973e-04  6.03861430e-04  2.19508345e+00  -1.61910479e+02  -1.45524975e+00
6.84819973e-04  6.03861430e-04  2.27295181e+00  -1.23033451e+02  -1.31986268e+00
6.84819973e-04  6.03861430e-04  2.35305316e+00  -8.95318165e+01  -1.15253764e+00
6.84819973e-04  6.03861430e-04  2.43543798e+00  -6.18936669e+01  -9.61207909e-01
6.84819973e-04  6.03861430e-04  2.52015707e+00  -4.02617095e+01  -7.58214253e-01
6.84819973e-04  6.03861430e-04  2.60726154e+00  -2.43683758e+01  -5.59098289e-01
6.84819973e-04  6.03861430e-04  2.69680271e+00  -1.35422581e+01  -3.79994944e-01
6.84819973e-04  6.03861430e-04  2.78883206e+00  -6.80337328e+00  -2.34041875e-01
6.84819973e-04  6.03861430e-04  2.88340114e+00  -3.03392623e+00  -1.27994089e-01
6.84819973e-04  6.03861430e-04  2.98056153e+00  -1.17558991e+00  -6.06541482e-02
6.84819973e-04  6.03861430e-04  3.08036470e+00  -3.85986989e-01  -2.41882465e-02
6.84819973e-04  6.03861430e-04  3.18286199e+00  -1.04236828e-01  -7.83848981e-03
6.84819973e-04  6.03861430e-04  3.28810447e+00  -2.23368739e-02  -1.97972099e-03
6.84819973e-04  6.03861430e-04  3.39614288e+00  -3.63464875e-03  -3.70751422e-04
