# weight[i] (1/Å)  momenta[i] (1/Å)  momenta[j] (1/Å)  v_0[i, j] (K•Å^3)  v_1[i, j] (K•Å^3)
1.94424871e-04  7.57581346e-05  1.98752241e+00  1.16763945e-189  4.53976268e-189
1.94424871e-04  7.57581346e-05  2.03717658e+00  7.28370284e-220  3.05383763e-219
1.94424871e-04  7.57581346e-05  2.08761228e+00  1.50584396e-254  6.75462772e-254
1.94424871e-04  7.57581346e-05  2.13882833e+00  2.52295571e-294  1.20178803e-293
1.94424871e-04  7.57581346e-05  2.19082292e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  2.24359353e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  2.29713692e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  2.35144909e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  2.40652530e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  2.46235997e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  2.51894673e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  2.57627835e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  2.63434673e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  2.69314287e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  2.75265686e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  2.81287783e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  2.87379397e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  2.93539248e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  2.99765954e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  3.06058031e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  3.12413893e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  3.18831845e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  3.25310087e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  3.31846709e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  3.38439690e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  3.45086899e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  3.51786092e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  3.58534912e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  3.65330888e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  3.72171435e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  3.79053852e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  3.85975325e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  3.92932926e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  3.99923609e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  4.06944220e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  4.13991487e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  4.21062029e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  4.28152355e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  4.35258862e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  4.42377844e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  4.49505486e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  4.56637873e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  4.63770986e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  4.70900714e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  4.78022846e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  4.85133084e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  4.92227040e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  4.99300245e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  5.06348148e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  5.13366124e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  5.20349479e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  5.27293452e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  5.34193223e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  5.41043916e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  5.47840609e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  5.54578334e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  5.61252087e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  5.67856833e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  5.74387515e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  5.80839057e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  5.87206372e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  5.93484371e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  5.99667970e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  6.05752095e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  6.11731691e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  6.17601730e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  6.23357219e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  6.28993205e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  6.34504788e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  6.39887124e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  6.45135434e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  6.50245015e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  6.55211244e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  6.60029586e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  6.64695607e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  6.69204974e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  6.73553470e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  6.77736994e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  6.81751576e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  6.85593377e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  6.89258703e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  6.92744006e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  6.96045893e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  6.99161132e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  7.02086659e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  7.04819582e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  7.07357188e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  7.09696947e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  7.11836518e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  7.13773752e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  7.15506699e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  7.17033609e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  7.18352935e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  7.19463339e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  7.20363693e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  7.21053085e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  7.21530824e+00  0.00000000e+00  0.00000000e+00
1.94424871e-04  7.57581346e-05  7.21796529e+00  0.00000000e+00  0.00000000e+00
4.52684131e-04  3.99209215e-04  7.57581346e-05  -4.57416342e+01  3.07409727e-07
4.52684131e-04  3.99209215e-04  3.99209215e-04  -4.57415889e+01  5.93447714e-07
4.52684131e-04  3.99209215e-04  9.81302541e-04  -4.57413516e+01  2.08962852e-06
4.52684131e-04  3.99209215e-04  1.82247587e-03  -4.57406555e+01  6.48080135e-06
4.52684131e-04  3.99209215e-04  2.92319076e-03  -4.57391138e+01  1.62065584e-05
4.52684131e-04  3.99209215e-04  4.28403402e-03  -4.57362202e+01  3.44676833e-05
4.52684131e-04  3.99209215e-04  5.90572739e-03  -4.57313476e+01  6.52346092e-05
4.52684131e-04  3.99209215e-04  7.78912938e-03  -4.57237492e+01  1.13257895e-04
4.52684131e-04  3.99209215e-04  9.93523601e-03  -4.57125586e+01  1.84080735e-04
4.52684131e-04  3.99209215e-04  1.23451811e-02  -4.56967931e+01  2.84053526e-04
4.52684131e-04  3.99209215e-04  1.50202366e-02  -4.56753564e+01  4.20350502e-04
4.52684131e-04  3.99209215e-04  1.79618127e-02  -4.56470454e+01  6.00988486e-04
